taskId,label,o_Efficiency,o_Mass flow,c_Design,o_Pressure ratio,c_Speed,c_Factor Name,c_Factor Value,s_rotor1,s_rotor2,s_rotor3,s_stator1,s_stator2,s_stator3,c2d_rotor1_exit,c2d_rotor2_exit,c2d_rotor3_exit,c2d_stator1_exit,c2d_stator2_exit,c2d_stator3_exit,,,
.\data\task_29,Design B 90% p2_140000,89.623620000,46.279260000,Design B,1.635110000,0.900000000,GAC,1.040000000,.\data\task_29\rotor1\Mis_line1d_mid_rotor1_task_29.json,.\data\task_29\rotor2\Mis_line1d_mid_rotor2_task_29.json,.\data\task_29\rotor3\Mis_line1d_mid_rotor3_task_29.json,.\data\task_29\stator1\Mis_line1d_mid_stator1_task_29.json,.\data\task_29\stator2\Mis_line1d_mid_stator2_task_29.json,.\data\task_29\stator3\Mis_line1d_mid_stator3_task_29.json,.\data\task_29\rotor1\ent_area2d_exit_rotor1_task_29.json,.\data\task_29\rotor2\ent_area2d_exit_rotor2_task_29.json,.\data\task_29\rotor3\ent_area2d_exit_rotor3_task_29.json,.\data\task_29\stator1\ent_area2d_exit_stator1_task_29.json,.\data\task_29\stator2\ent_area2d_exit_stator2_task_29.json,.\data\task_29\stator3\ent_area2d_exit_stator3_task_29.json,,,
.\data\task_30,Design B 90% p2_150000,91.616830000,45.231440000,Design B,1.710771000,0.900000000,DA,0.960000000,.\data\task_30\rotor1\Mis_line1d_mid_rotor1_task_30.json,.\data\task_30\rotor2\Mis_line1d_mid_rotor2_task_30.json,.\data\task_30\rotor3\Mis_line1d_mid_rotor3_task_30.json,.\data\task_30\stator1\Mis_line1d_mid_stator1_task_30.json,.\data\task_30\stator2\Mis_line1d_mid_stator2_task_30.json,.\data\task_30\stator3\Mis_line1d_mid_stator3_task_30.json,.\data\task_30\rotor1\ent_area2d_exit_rotor1_task_30.json,.\data\task_30\rotor2\ent_area2d_exit_rotor2_task_30.json,.\data\task_30\rotor3\ent_area2d_exit_rotor3_task_30.json,.\data\task_30\stator1\ent_area2d_exit_stator1_task_30.json,.\data\task_30\stator2\ent_area2d_exit_stator2_task_30.json,.\data\task_30\stator3\ent_area2d_exit_stator3_task_30.json,,,
.\data\task_31,Design B 90% p2_160000,92.605550000,43.857020000,Design B,1.786930000,0.900000000,GAC,1.000000000,.\data\task_31\rotor1\Mis_line1d_mid_rotor1_task_31.json,.\data\task_31\rotor2\Mis_line1d_mid_rotor2_task_31.json,.\data\task_31\rotor3\Mis_line1d_mid_rotor3_task_31.json,.\data\task_31\stator1\Mis_line1d_mid_stator1_task_31.json,.\data\task_31\stator2\Mis_line1d_mid_stator2_task_31.json,.\data\task_31\stator3\Mis_line1d_mid_stator3_task_31.json,.\data\task_31\rotor1\ent_area2d_exit_rotor1_task_31.json,.\data\task_31\rotor2\ent_area2d_exit_rotor2_task_31.json,.\data\task_31\rotor3\ent_area2d_exit_rotor3_task_31.json,.\data\task_31\stator1\ent_area2d_exit_stator1_task_31.json,.\data\task_31\stator2\ent_area2d_exit_stator2_task_31.json,.\data\task_31\stator3\ent_area2d_exit_stator3_task_31.json,,,
.\data\task_32,Design B 90% p2_170000,92.667530000,41.619240000,Design B,1.863345000,0.900000000,DA,1.040000000,.\data\task_32\rotor1\Mis_line1d_mid_rotor1_task_32.json,.\data\task_32\rotor2\Mis_line1d_mid_rotor2_task_32.json,.\data\task_32\rotor3\Mis_line1d_mid_rotor3_task_32.json,.\data\task_32\stator1\Mis_line1d_mid_stator1_task_32.json,.\data\task_32\stator2\Mis_line1d_mid_stator2_task_32.json,.\data\task_32\stator3\Mis_line1d_mid_stator3_task_32.json,.\data\task_32\rotor1\ent_area2d_exit_rotor1_task_32.json,.\data\task_32\rotor2\ent_area2d_exit_rotor2_task_32.json,.\data\task_32\rotor3\ent_area2d_exit_rotor3_task_32.json,.\data\task_32\stator1\ent_area2d_exit_stator1_task_32.json,.\data\task_32\stator2\ent_area2d_exit_stator2_task_32.json,.\data\task_32\stator3\ent_area2d_exit_stator3_task_32.json,,,
.\data\task_33,Design B 80% p2_90000,62.707100000,41.963930000,Design B,1.252868000,0.800000000,GAC,0.960000000,.\data\task_33\rotor1\Mis_line1d_mid_rotor1_task_33.json,.\data\task_33\rotor2\Mis_line1d_mid_rotor2_task_33.json,.\data\task_33\rotor3\Mis_line1d_mid_rotor3_task_33.json,.\data\task_33\stator1\Mis_line1d_mid_stator1_task_33.json,.\data\task_33\stator2\Mis_line1d_mid_stator2_task_33.json,.\data\task_33\stator3\Mis_line1d_mid_stator3_task_33.json,.\data\task_33\rotor1\ent_area2d_exit_rotor1_task_33.json,.\data\task_33\rotor2\ent_area2d_exit_rotor2_task_33.json,.\data\task_33\rotor3\ent_area2d_exit_rotor3_task_33.json,.\data\task_33\stator1\ent_area2d_exit_stator1_task_33.json,.\data\task_33\stator2\ent_area2d_exit_stator2_task_33.json,.\data\task_33\stator3\ent_area2d_exit_stator3_task_33.json,,,
.\data\task_34,Design B 80% p2_100000,70.214670000,41.943180000,Design B,1.297068000,0.800000000,DA,1.000000000,.\data\task_34\rotor1\Mis_line1d_mid_rotor1_task_34.json,.\data\task_34\rotor2\Mis_line1d_mid_rotor2_task_34.json,.\data\task_34\rotor3\Mis_line1d_mid_rotor3_task_34.json,.\data\task_34\stator1\Mis_line1d_mid_stator1_task_34.json,.\data\task_34\stator2\Mis_line1d_mid_stator2_task_34.json,.\data\task_34\stator3\Mis_line1d_mid_stator3_task_34.json,.\data\task_34\rotor1\ent_area2d_exit_rotor1_task_34.json,.\data\task_34\rotor2\ent_area2d_exit_rotor2_task_34.json,.\data\task_34\rotor3\ent_area2d_exit_rotor3_task_34.json,.\data\task_34\stator1\ent_area2d_exit_stator1_task_34.json,.\data\task_34\stator2\ent_area2d_exit_stator2_task_34.json,.\data\task_34\stator3\ent_area2d_exit_stator3_task_34.json,,,
.\data\task_35,Design B 80% p2_110000,78.687240000,41.917990000,Design B,1.353713000,0.800000000,GAC,1.040000000,.\data\task_35\rotor1\Mis_line1d_mid_rotor1_task_35.json,.\data\task_35\rotor2\Mis_line1d_mid_rotor2_task_35.json,.\data\task_35\rotor3\Mis_line1d_mid_rotor3_task_35.json,.\data\task_35\stator1\Mis_line1d_mid_stator1_task_35.json,.\data\task_35\stator2\Mis_line1d_mid_stator2_task_35.json,.\data\task_35\stator3\Mis_line1d_mid_stator3_task_35.json,.\data\task_35\rotor1\ent_area2d_exit_rotor1_task_35.json,.\data\task_35\rotor2\ent_area2d_exit_rotor2_task_35.json,.\data\task_35\rotor3\ent_area2d_exit_rotor3_task_35.json,.\data\task_35\stator1\ent_area2d_exit_stator1_task_35.json,.\data\task_35\stator2\ent_area2d_exit_stator2_task_35.json,.\data\task_35\stator3\ent_area2d_exit_stator3_task_35.json,,,
.\data\task_36,Design B 80% p2_120000,86.122840000,41.522790000,Design B,1.415704000,0.800000000,DA,0.960000000,.\data\task_36\rotor1\Mis_line1d_mid_rotor1_task_36.json,.\data\task_36\rotor2\Mis_line1d_mid_rotor2_task_36.json,.\data\task_36\rotor3\Mis_line1d_mid_rotor3_task_36.json,.\data\task_36\stator1\Mis_line1d_mid_stator1_task_36.json,.\data\task_36\stator2\Mis_line1d_mid_stator2_task_36.json,.\data\task_36\stator3\Mis_line1d_mid_stator3_task_36.json,.\data\task_36\rotor1\ent_area2d_exit_rotor1_task_36.json,.\data\task_36\rotor2\ent_area2d_exit_rotor2_task_36.json,.\data\task_36\rotor3\ent_area2d_exit_rotor3_task_36.json,.\data\task_36\stator1\ent_area2d_exit_stator1_task_36.json,.\data\task_36\stator2\ent_area2d_exit_stator2_task_36.json,.\data\task_36\stator3\ent_area2d_exit_stator3_task_36.json,,,
.\data\task_37,Design B 80% p2_130000,90.214020000,40.489360000,Design B,1.487177000,0.800000000,GAC,1.000000000,.\data\task_37\rotor1\Mis_line1d_mid_rotor1_task_37.json,.\data\task_37\rotor2\Mis_line1d_mid_rotor2_task_37.json,.\data\task_37\rotor3\Mis_line1d_mid_rotor3_task_37.json,.\data\task_37\stator1\Mis_line1d_mid_stator1_task_37.json,.\data\task_37\stator2\Mis_line1d_mid_stator2_task_37.json,.\data\task_37\stator3\Mis_line1d_mid_stator3_task_37.json,.\data\task_37\rotor1\ent_area2d_exit_rotor1_task_37.json,.\data\task_37\rotor2\ent_area2d_exit_rotor2_task_37.json,.\data\task_37\rotor3\ent_area2d_exit_rotor3_task_37.json,.\data\task_37\stator1\ent_area2d_exit_stator1_task_37.json,.\data\task_37\stator2\ent_area2d_exit_stator2_task_37.json,.\data\task_37\stator3\ent_area2d_exit_stator3_task_37.json,,,
.\data\task_38,Design B 80% p2_140000,92.208250000,38.883410000,Design B,1.561103000,0.800000000,DA,1.040000000,.\data\task_38\rotor1\Mis_line1d_mid_rotor1_task_38.json,.\data\task_38\rotor2\Mis_line1d_mid_rotor2_task_38.json,.\data\task_38\rotor3\Mis_line1d_mid_rotor3_task_38.json,.\data\task_38\stator1\Mis_line1d_mid_stator1_task_38.json,.\data\task_38\stator2\Mis_line1d_mid_stator2_task_38.json,.\data\task_38\stator3\Mis_line1d_mid_stator3_task_38.json,.\data\task_38\rotor1\ent_area2d_exit_rotor1_task_38.json,.\data\task_38\rotor2\ent_area2d_exit_rotor2_task_38.json,.\data\task_38\rotor3\ent_area2d_exit_rotor3_task_38.json,.\data\task_38\stator1\ent_area2d_exit_stator1_task_38.json,.\data\task_38\stator2\ent_area2d_exit_stator2_task_38.json,.\data\task_38\stator3\ent_area2d_exit_stator3_task_38.json,,,
.\data\task_39,Design B 80% p2_150000,92.692570000,36.336350000,Design B,1.634093000,0.800000000,GAC,0.960000000,.\data\task_39\rotor1\Mis_line1d_mid_rotor1_task_39.json,.\data\task_39\rotor2\Mis_line1d_mid_rotor2_task_39.json,.\data\task_39\rotor3\Mis_line1d_mid_rotor3_task_39.json,.\data\task_39\stator1\Mis_line1d_mid_stator1_task_39.json,.\data\task_39\stator2\Mis_line1d_mid_stator2_task_39.json,.\data\task_39\stator3\Mis_line1d_mid_stator3_task_39.json,.\data\task_39\rotor1\ent_area2d_exit_rotor1_task_39.json,.\data\task_39\rotor2\ent_area2d_exit_rotor2_task_39.json,.\data\task_39\rotor3\ent_area2d_exit_rotor3_task_39.json,.\data\task_39\stator1\ent_area2d_exit_stator1_task_39.json,.\data\task_39\stator2\ent_area2d_exit_stator2_task_39.json,.\data\task_39\stator3\ent_area2d_exit_stator3_task_39.json,,,
.\data\task_40,Design C 100% p2_140000,82.986170000,51.850490000,Design C,1.707535000,1.000000000,DA,1.000000000,.\data\task_40\rotor1\Mis_line1d_mid_rotor1_task_40.json,.\data\task_40\rotor2\Mis_line1d_mid_rotor2_task_40.json,.\data\task_40\rotor3\Mis_line1d_mid_rotor3_task_40.json,.\data\task_40\stator1\Mis_line1d_mid_stator1_task_40.json,.\data\task_40\stator2\Mis_line1d_mid_stator2_task_40.json,.\data\task_40\stator3\Mis_line1d_mid_stator3_task_40.json,.\data\task_40\rotor1\ent_area2d_exit_rotor1_task_40.json,.\data\task_40\rotor2\ent_area2d_exit_rotor2_task_40.json,.\data\task_40\rotor3\ent_area2d_exit_rotor3_task_40.json,.\data\task_40\stator1\ent_area2d_exit_stator1_task_40.json,.\data\task_40\stator2\ent_area2d_exit_stator2_task_40.json,.\data\task_40\stator3\ent_area2d_exit_stator3_task_40.json,,,
.\data\task_41,Design C 100% p2_150000,86.595280000,51.808730000,Design C,1.785881000,1.000000000,GAC,1.040000000,.\data\task_41\rotor1\Mis_line1d_mid_rotor1_task_41.json,.\data\task_41\rotor2\Mis_line1d_mid_rotor2_task_41.json,.\data\task_41\rotor3\Mis_line1d_mid_rotor3_task_41.json,.\data\task_41\stator1\Mis_line1d_mid_stator1_task_41.json,.\data\task_41\stator2\Mis_line1d_mid_stator2_task_41.json,.\data\task_41\stator3\Mis_line1d_mid_stator3_task_41.json,.\data\task_41\rotor1\ent_area2d_exit_rotor1_task_41.json,.\data\task_41\rotor2\ent_area2d_exit_rotor2_task_41.json,.\data\task_41\rotor3\ent_area2d_exit_rotor3_task_41.json,.\data\task_41\stator1\ent_area2d_exit_stator1_task_41.json,.\data\task_41\stator2\ent_area2d_exit_stator2_task_41.json,.\data\task_41\stator3\ent_area2d_exit_stator3_task_41.json,,,
.\data\task_42,Design C 100% p2_160000,90.091730000,51.606200000,Design C,1.866258000,1.000000000,DA,0.960000000,.\data\task_42\rotor1\Mis_line1d_mid_rotor1_task_42.json,.\data\task_42\rotor2\Mis_line1d_mid_rotor2_task_42.json,.\data\task_42\rotor3\Mis_line1d_mid_rotor3_task_42.json,.\data\task_42\stator1\Mis_line1d_mid_stator1_task_42.json,.\data\task_42\stator2\Mis_line1d_mid_stator2_task_42.json,.\data\task_42\stator3\Mis_line1d_mid_stator3_task_42.json,.\data\task_42\rotor1\ent_area2d_exit_rotor1_task_42.json,.\data\task_42\rotor2\ent_area2d_exit_rotor2_task_42.json,.\data\task_42\rotor3\ent_area2d_exit_rotor3_task_42.json,.\data\task_42\stator1\ent_area2d_exit_stator1_task_42.json,.\data\task_42\stator2\ent_area2d_exit_stator2_task_42.json,.\data\task_42\stator3\ent_area2d_exit_stator3_task_42.json,,,
.\data\task_43,Design C 100% p2_170000,91.539370000,50.843760000,Design C,1.945216000,1.000000000,GAC,1.000000000,.\data\task_43\rotor1\Mis_line1d_mid_rotor1_task_43.json,.\data\task_43\rotor2\Mis_line1d_mid_rotor2_task_43.json,.\data\task_43\rotor3\Mis_line1d_mid_rotor3_task_43.json,.\data\task_43\stator1\Mis_line1d_mid_stator1_task_43.json,.\data\task_43\stator2\Mis_line1d_mid_stator2_task_43.json,.\data\task_43\stator3\Mis_line1d_mid_stator3_task_43.json,.\data\task_43\rotor1\ent_area2d_exit_rotor1_task_43.json,.\data\task_43\rotor2\ent_area2d_exit_rotor2_task_43.json,.\data\task_43\rotor3\ent_area2d_exit_rotor3_task_43.json,.\data\task_43\stator1\ent_area2d_exit_stator1_task_43.json,.\data\task_43\stator2\ent_area2d_exit_stator2_task_43.json,.\data\task_43\stator3\ent_area2d_exit_stator3_task_43.json,,,
.\data\task_44,Design C 100% p2_180000,92.384440000,49.819190000,Design C,2.025225000,1.000000000,DA,1.040000000,.\data\task_44\rotor1\Mis_line1d_mid_rotor1_task_44.json,.\data\task_44\rotor2\Mis_line1d_mid_rotor2_task_44.json,.\data\task_44\rotor3\Mis_line1d_mid_rotor3_task_44.json,.\data\task_44\stator1\Mis_line1d_mid_stator1_task_44.json,.\data\task_44\stator2\Mis_line1d_mid_stator2_task_44.json,.\data\task_44\stator3\Mis_line1d_mid_stator3_task_44.json,.\data\task_44\rotor1\ent_area2d_exit_rotor1_task_44.json,.\data\task_44\rotor2\ent_area2d_exit_rotor2_task_44.json,.\data\task_44\rotor3\ent_area2d_exit_rotor3_task_44.json,.\data\task_44\stator1\ent_area2d_exit_stator1_task_44.json,.\data\task_44\stator2\ent_area2d_exit_stator2_task_44.json,.\data\task_44\stator3\ent_area2d_exit_stator3_task_44.json,,,
.\data\task_45,Design C 100% p2_190000,92.894570000,48.465100000,Design C,2.107482000,1.000000000,GAC,0.960000000,.\data\task_45\rotor1\Mis_line1d_mid_rotor1_task_45.json,.\data\task_45\rotor2\Mis_line1d_mid_rotor2_task_45.json,.\data\task_45\rotor3\Mis_line1d_mid_rotor3_task_45.json,.\data\task_45\stator1\Mis_line1d_mid_stator1_task_45.json,.\data\task_45\stator2\Mis_line1d_mid_stator2_task_45.json,.\data\task_45\stator3\Mis_line1d_mid_stator3_task_45.json,.\data\task_45\rotor1\ent_area2d_exit_rotor1_task_45.json,.\data\task_45\rotor2\ent_area2d_exit_rotor2_task_45.json,.\data\task_45\rotor3\ent_area2d_exit_rotor3_task_45.json,.\data\task_45\stator1\ent_area2d_exit_stator1_task_45.json,.\data\task_45\stator2\ent_area2d_exit_stator2_task_45.json,.\data\task_45\stator3\ent_area2d_exit_stator3_task_45.json,,,
.\data\task_46,Design C 90% p2_110000,74.143310000,46.775760000,Design C,1.436239000,0.900000000,DA,1.000000000,.\data\task_46\rotor1\Mis_line1d_mid_rotor1_task_46.json,.\data\task_46\rotor2\Mis_line1d_mid_rotor2_task_46.json,.\data\task_46\rotor3\Mis_line1d_mid_rotor3_task_46.json,.\data\task_46\stator1\Mis_line1d_mid_stator1_task_46.json,.\data\task_46\stator2\Mis_line1d_mid_stator2_task_46.json,.\data\task_46\stator3\Mis_line1d_mid_stator3_task_46.json,.\data\task_46\rotor1\ent_area2d_exit_rotor1_task_46.json,.\data\task_46\rotor2\ent_area2d_exit_rotor2_task_46.json,.\data\task_46\rotor3\ent_area2d_exit_rotor3_task_46.json,.\data\task_46\stator1\ent_area2d_exit_stator1_task_46.json,.\data\task_46\stator2\ent_area2d_exit_stator2_task_46.json,.\data\task_46\stator3\ent_area2d_exit_stator3_task_46.json,,,
.\data\task_47,Design C 90% p2_120000,79.075910000,46.743310000,Design C,1.489204000,0.900000000,GAC,1.040000000,.\data\task_47\rotor1\Mis_line1d_mid_rotor1_task_47.json,.\data\task_47\rotor2\Mis_line1d_mid_rotor2_task_47.json,.\data\task_47\rotor3\Mis_line1d_mid_rotor3_task_47.json,.\data\task_47\stator1\Mis_line1d_mid_stator1_task_47.json,.\data\task_47\stator2\Mis_line1d_mid_stator2_task_47.json,.\data\task_47\stator3\Mis_line1d_mid_stator3_task_47.json,.\data\task_47\rotor1\ent_area2d_exit_rotor1_task_47.json,.\data\task_47\rotor2\ent_area2d_exit_rotor2_task_47.json,.\data\task_47\rotor3\ent_area2d_exit_rotor3_task_47.json,.\data\task_47\stator1\ent_area2d_exit_stator1_task_47.json,.\data\task_47\stator2\ent_area2d_exit_stator2_task_47.json,.\data\task_47\stator3\ent_area2d_exit_stator3_task_47.json,,,
.\data\task_48,Design C 90% p2_130000,84.910780000,46.749370000,Design C,1.559247000,0.900000000,DA,0.960000000,.\data\task_48\rotor1\Mis_line1d_mid_rotor1_task_48.json,.\data\task_48\rotor2\Mis_line1d_mid_rotor2_task_48.json,.\data\task_48\rotor3\Mis_line1d_mid_rotor3_task_48.json,.\data\task_48\stator1\Mis_line1d_mid_stator1_task_48.json,.\data\task_48\stator2\Mis_line1d_mid_stator2_task_48.json,.\data\task_48\stator3\Mis_line1d_mid_stator3_task_48.json,.\data\task_48\rotor1\ent_area2d_exit_rotor1_task_48.json,.\data\task_48\rotor2\ent_area2d_exit_rotor2_task_48.json,.\data\task_48\rotor3\ent_area2d_exit_rotor3_task_48.json,.\data\task_48\stator1\ent_area2d_exit_stator1_task_48.json,.\data\task_48\stator2\ent_area2d_exit_stator2_task_48.json,.\data\task_48\stator3\ent_area2d_exit_stator3_task_48.json,,,
.\data\task_49,Design C 90% p2_140000,89.611670000,46.308780000,Design C,1.635146000,0.900000000,GAC,1.000000000,.\data\task_49\rotor1\Mis_line1d_mid_rotor1_task_49.json,.\data\task_49\rotor2\Mis_line1d_mid_rotor2_task_49.json,.\data\task_49\rotor3\Mis_line1d_mid_rotor3_task_49.json,.\data\task_49\stator1\Mis_line1d_mid_stator1_task_49.json,.\data\task_49\stator2\Mis_line1d_mid_stator2_task_49.json,.\data\task_49\stator3\Mis_line1d_mid_stator3_task_49.json,.\data\task_49\rotor1\ent_area2d_exit_rotor1_task_49.json,.\data\task_49\rotor2\ent_area2d_exit_rotor2_task_49.json,.\data\task_49\rotor3\ent_area2d_exit_rotor3_task_49.json,.\data\task_49\stator1\ent_area2d_exit_stator1_task_49.json,.\data\task_49\stator2\ent_area2d_exit_stator2_task_49.json,.\data\task_49\stator3\ent_area2d_exit_stator3_task_49.json,,,
.\data\task_50,Design C 90% p2_150000,91.613070000,45.267890000,Design C,1.710861000,0.900000000,DA,1.040000000,.\data\task_50\rotor1\Mis_line1d_mid_rotor1_task_50.json,.\data\task_50\rotor2\Mis_line1d_mid_rotor2_task_50.json,.\data\task_50\rotor3\Mis_line1d_mid_rotor3_task_50.json,.\data\task_50\stator1\Mis_line1d_mid_stator1_task_50.json,.\data\task_50\stator2\Mis_line1d_mid_stator2_task_50.json,.\data\task_50\stator3\Mis_line1d_mid_stator3_task_50.json,.\data\task_50\rotor1\ent_area2d_exit_rotor1_task_50.json,.\data\task_50\rotor2\ent_area2d_exit_rotor2_task_50.json,.\data\task_50\rotor3\ent_area2d_exit_rotor3_task_50.json,.\data\task_50\stator1\ent_area2d_exit_stator1_task_50.json,.\data\task_50\stator2\ent_area2d_exit_stator2_task_50.json,.\data\task_50\stator3\ent_area2d_exit_stator3_task_50.json,,,
.\data\task_51,Design C 90% p2_160000,92.687410000,43.886580000,Design C,1.788069000,0.900000000,GAC,0.960000000,.\data\task_51\rotor1\Mis_line1d_mid_rotor1_task_51.json,.\data\task_51\rotor2\Mis_line1d_mid_rotor2_task_51.json,.\data\task_51\rotor3\Mis_line1d_mid_rotor3_task_51.json,.\data\task_51\stator1\Mis_line1d_mid_stator1_task_51.json,.\data\task_51\stator2\Mis_line1d_mid_stator2_task_51.json,.\data\task_51\stator3\Mis_line1d_mid_stator3_task_51.json,.\data\task_51\rotor1\ent_area2d_exit_rotor1_task_51.json,.\data\task_51\rotor2\ent_area2d_exit_rotor2_task_51.json,.\data\task_51\rotor3\ent_area2d_exit_rotor3_task_51.json,.\data\task_51\stator1\ent_area2d_exit_stator1_task_51.json,.\data\task_51\stator2\ent_area2d_exit_stator2_task_51.json,.\data\task_51\stator3\ent_area2d_exit_stator3_task_51.json,,,
.\data\task_52,Design C 90% p2_170000,93.066910000,41.995440000,Design C,1.864946000,0.900000000,DA,1.000000000,.\data\task_52\rotor1\Mis_line1d_mid_rotor1_task_52.json,.\data\task_52\rotor2\Mis_line1d_mid_rotor2_task_52.json,.\data\task_52\rotor3\Mis_line1d_mid_rotor3_task_52.json,.\data\task_52\stator1\Mis_line1d_mid_stator1_task_52.json,.\data\task_52\stator2\Mis_line1d_mid_stator2_task_52.json,.\data\task_52\stator3\Mis_line1d_mid_stator3_task_52.json,.\data\task_52\rotor1\ent_area2d_exit_rotor1_task_52.json,.\data\task_52\rotor2\ent_area2d_exit_rotor2_task_52.json,.\data\task_52\rotor3\ent_area2d_exit_rotor3_task_52.json,.\data\task_52\stator1\ent_area2d_exit_stator1_task_52.json,.\data\task_52\stator2\ent_area2d_exit_stator2_task_52.json,.\data\task_52\stator3\ent_area2d_exit_stator3_task_52.json,,,
.\data\task_53,Design C 80% p2_90000,62.536870000,42.010300000,Design C,1.258420000,0.800000000,GAC,1.040000000,.\data\task_53\rotor1\Mis_line1d_mid_rotor1_task_53.json,.\data\task_53\rotor2\Mis_line1d_mid_rotor2_task_53.json,.\data\task_53\rotor3\Mis_line1d_mid_rotor3_task_53.json,.\data\task_53\stator1\Mis_line1d_mid_stator1_task_53.json,.\data\task_53\stator2\Mis_line1d_mid_stator2_task_53.json,.\data\task_53\stator3\Mis_line1d_mid_stator3_task_53.json,.\data\task_53\rotor1\ent_area2d_exit_rotor1_task_53.json,.\data\task_53\rotor2\ent_area2d_exit_rotor2_task_53.json,.\data\task_53\rotor3\ent_area2d_exit_rotor3_task_53.json,.\data\task_53\stator1\ent_area2d_exit_stator1_task_53.json,.\data\task_53\stator2\ent_area2d_exit_stator2_task_53.json,.\data\task_53\stator3\ent_area2d_exit_stator3_task_53.json,,,
.\data\task_54,Design C 80% p2_100000,69.627710000,41.990900000,Design C,1.296310000,0.800000000,DA,0.960000000,.\data\task_54\rotor1\Mis_line1d_mid_rotor1_task_54.json,.\data\task_54\rotor2\Mis_line1d_mid_rotor2_task_54.json,.\data\task_54\rotor3\Mis_line1d_mid_rotor3_task_54.json,.\data\task_54\stator1\Mis_line1d_mid_stator1_task_54.json,.\data\task_54\stator2\Mis_line1d_mid_stator2_task_54.json,.\data\task_54\stator3\Mis_line1d_mid_stator3_task_54.json,.\data\task_54\rotor1\ent_area2d_exit_rotor1_task_54.json,.\data\task_54\rotor2\ent_area2d_exit_rotor2_task_54.json,.\data\task_54\rotor3\ent_area2d_exit_rotor3_task_54.json,.\data\task_54\stator1\ent_area2d_exit_stator1_task_54.json,.\data\task_54\stator2\ent_area2d_exit_stator2_task_54.json,.\data\task_54\stator3\ent_area2d_exit_stator3_task_54.json,,,
.\data\task_55,Design C 80% p2_110000,78.543270000,41.953660000,Design C,1.352803000,0.800000000,GAC,1.000000000,.\data\task_55\rotor1\Mis_line1d_mid_rotor1_task_55.json,.\data\task_55\rotor2\Mis_line1d_mid_rotor2_task_55.json,.\data\task_55\rotor3\Mis_line1d_mid_rotor3_task_55.json,.\data\task_55\stator1\Mis_line1d_mid_stator1_task_55.json,.\data\task_55\stator2\Mis_line1d_mid_stator2_task_55.json,.\data\task_55\stator3\Mis_line1d_mid_stator3_task_55.json,.\data\task_55\rotor1\ent_area2d_exit_rotor1_task_55.json,.\data\task_55\rotor2\ent_area2d_exit_rotor2_task_55.json,.\data\task_55\rotor3\ent_area2d_exit_rotor3_task_55.json,.\data\task_55\stator1\ent_area2d_exit_stator1_task_55.json,.\data\task_55\stator2\ent_area2d_exit_stator2_task_55.json,.\data\task_55\stator3\ent_area2d_exit_stator3_task_55.json,,,
.\data\task_56,Design C 80% p2_120000,86.089090000,41.571190000,Design C,1.415831000,0.800000000,DA,1.040000000,.\data\task_56\rotor1\Mis_line1d_mid_rotor1_task_56.json,.\data\task_56\rotor2\Mis_line1d_mid_rotor2_task_56.json,.\data\task_56\rotor3\Mis_line1d_mid_rotor3_task_56.json,.\data\task_56\stator1\Mis_line1d_mid_stator1_task_56.json,.\data\task_56\stator2\Mis_line1d_mid_stator2_task_56.json,.\data\task_56\stator3\Mis_line1d_mid_stator3_task_56.json,.\data\task_56\rotor1\ent_area2d_exit_rotor1_task_56.json,.\data\task_56\rotor2\ent_area2d_exit_rotor2_task_56.json,.\data\task_56\rotor3\ent_area2d_exit_rotor3_task_56.json,.\data\task_56\stator1\ent_area2d_exit_stator1_task_56.json,.\data\task_56\stator2\ent_area2d_exit_stator2_task_56.json,.\data\task_56\stator3\ent_area2d_exit_stator3_task_56.json,,,
.\data\task_57,Design C 80% p2_130000,90.259240000,40.522860000,Design C,1.487310000,0.800000000,GAC,0.960000000,.\data\task_57\rotor1\Mis_line1d_mid_rotor1_task_57.json,.\data\task_57\rotor2\Mis_line1d_mid_rotor2_task_57.json,.\data\task_57\rotor3\Mis_line1d_mid_rotor3_task_57.json,.\data\task_57\stator1\Mis_line1d_mid_stator1_task_57.json,.\data\task_57\stator2\Mis_line1d_mid_stator2_task_57.json,.\data\task_57\stator3\Mis_line1d_mid_stator3_task_57.json,.\data\task_57\rotor1\ent_area2d_exit_rotor1_task_57.json,.\data\task_57\rotor2\ent_area2d_exit_rotor2_task_57.json,.\data\task_57\rotor3\ent_area2d_exit_rotor3_task_57.json,.\data\task_57\stator1\ent_area2d_exit_stator1_task_57.json,.\data\task_57\stator2\ent_area2d_exit_stator2_task_57.json,.\data\task_57\stator3\ent_area2d_exit_stator3_task_57.json,,,
